线索ID,日期,城市,渠道,客户年龄,客户性别,试驾时长,是否下订,is_outlier,试驾时长_raw,线索月份,跟进总次数,平均沟通时长,最大沟通时长,沟通时长标准差,最早跟进日期,最晚跟进日期,主要跟进方式,电话占比,微信占比,面谈占比,主要销售员ID,涉及销售员数,首次跟进间隔天数,跟进天数跨度,跟进强度,订单ID,交付日期,车型,配置,颜色,交付里程,是否延迟交付,交付评分,线索到交付天数,投诉次数,主要投诉类型,投诉类型数,平均处理时长,最大处理时长,售后平均满意度,售后最低满意度,是否有投诉,销售员ID,销售员城市,主要销售员职级,销售员入职日期,主要销售员绩效,销售员经验天数,租金(万),水电(万),市场费用(万),总运营成本万,年龄分段,是否周末,季度,城市当月线索数,渠道历史转化率,销售员历史转化率
L000014,2025-12-15,杭州,抖音,37,男,26,0,0,26,2025-12,8,12.5,20.3,3.8,2025-12-21,2026-01-13,电话,0.602,0.35,0.048,S012,2,6,23,0.333,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S012,杭州,中级,2022-11-29,A,1112,28.43,5.98,8.49,32.91,36-45,0,2025Q4,17,0.27,0.316
L000015,2025-07-17,杭州,小红书,54,男,17,0,0,17,2025-07,2,16.0,20.8,5.0,2025-07-21,2025-07-23,面谈,0.246,0.203,0.551,S046,2,4,2,0.667,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S046,杭州,中级,2021-01-06,B,1653,11.55,2.34,18.4,57.11,46-55,0,2025Q3,6,0.29,0.247
L000016,2025-10-22,重庆,小红书,29,男,54,0,0,54,2025-10,0,0.0,0.0,0.0,2025-10-22,2025-10-22,面谈,0.386,0.09,0.524,S023,0,0,0,0.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S023,重庆,资深,2023-02-28,B,967,12.38,4.88,35.71,59.9,26-35,0,2025Q4,23,0.29,0.284
L000017,2025-12-04,西安,车展,22,男,40,0,0,40,2025-12,1,15.4,30.8,0.0,2025-12-04,2025-12-26,电话,0.678,0.215,0.107,S010,2,0,22,0.043,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S010,西安,资深,2022-01-31,B,1403,19.64,6.09,12.98,39.77,18-25,0,2025Q4,12,0.25,0.365
L000018,2025-12-25,广州,朋友推荐,36,男,19,0,0,19,2025-12,2,23.3,40.1,5.6,2025-12-25,2025-12-26,微信,0.203,0.609,0.188,S008,1,0,1,1.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S008,广州,高级,2021-12-17,A,1469,21.85,5.72,26.09,43.27,36-45,0,2025Q4,11,0.33,0.399
L000019,2025-12-01,重庆,小红书,22,男,33,0,0,33,2025-12,0,0.0,0.0,0.0,2025-12-01,2025-12-01,面谈,0.371,0.171,0.459,S014,0,0,0,0.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S014,重庆,中级,2021-11-10,B,1482,15.81,6.36,34.18,49.62,18-25,0,2025Q4,12,0.29,0.27
L000020,2025-08-04,西安,小红书,38,女,37,0,0,37,2025-08,5,26.0,39.2,2.0,2025-08-04,2025-08-19,微信,0.249,0.524,0.227,S036,2,0,15,0.312,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S036,西安,高级,2022-05-27,B,1165,28.42,2.22,39.18,46.02,36-45,0,2025Q3,18,0.29,0.304
L000021,2025-10-18,上海,懂车帝,43,男,41,0,0,41,2025-10,3,20.0,38.2,1.4,2025-10-18,2025-11-03,面谈,0.172,0.413,0.415,S014,1,0,16,0.176,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S014,上海,中级,2022-04-13,C,1284,15.73,2.09,8.44,62.51,36-45,1,2025Q4,19,0.34,0.236
L000022,2025-09-07,杭州,懂车帝,56,男,38,1,0,38,2025-09,2,12.0,26.5,7.8,2025-09-13,2025-09-30,面谈,0.361,0.248,0.392,S028,2,6,17,0.111,O000021,2025-10-14,G9,650 Max,暗夜黑,196.0,0.0,4.0,37.0,0,无,0,0.0,0.0,0.0,0.0,0,S028,杭州,初级,2021-09-02,B,1466,30.92,4.88,35.47,22.57,56+,1,2025Q3,11,0.34,0.27
L000023,2025-11-19,武汉,小红书,34,男,31,0,0,31,2025-11,1,21.9,38.6,0.0,2025-11-25,2025-12-03,面谈,0.207,0.311,0.481,S036,1,6,8,0.111,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S036,武汉,中级,2022-07-16,A,1222,13.45,4.01,18.79,27.83,26-35,0,2025Q4,14,0.29,0.355
L000024,2025-12-17,武汉,车展,34,男,54,0,0,54,2025-12,3,29.9,35.9,2.5,2025-12-17,2026-01-08,电话,0.556,0.341,0.103,S038,1,0,22,0.13,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S038,武汉,中级,2023-02-15,C,1036,28.24,3.85,15.6,49.55,26-35,0,2025Q4,16,0.25,0.365
L000025,2025-08-05,深圳,抖音,28,女,49,0,0,49,2025-08,3,25.2,28.6,3.8,2025-08-11,2025-08-28,电话,0.755,0.158,0.087,S027,1,6,17,0.167,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S027,深圳,中级,2021-09-26,C,1409,22.49,2.79,9.24,56.73,26-35,0,2025Q3,19,0.27,0.344
L000026,2025-11-25,武汉,门店,58,男,28,0,0,28,2025-11,2,29.6,42.7,4.4,2025-12-02,2025-12-08,电话,0.439,0.407,0.153,S034,1,7,6,0.286,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S034,武汉,中级,2024-06-05,B,538,28.26,6.08,41.7,35.37,56+,0,2025Q4,14,0.31,0.388
L000027,2025-12-08,深圳,懂车帝,21,男,35,0,0,35,2025-12,4,12.7,16.3,4.8,2025-12-11,2025-12-25,电话,0.525,0.212,0.263,S016,2,3,14,0.267,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S016,深圳,中级,2021-05-29,A,1654,12.73,6.27,29.28,45.9,18-25,0,2025Q4,10,0.34,0.272
L000028,2025-11-02,西安,小红书,38,男,37,0,0,37,2025-11,1,21.4,38.0,0.0,2025-11-02,2025-11-06,电话,0.434,0.287,0.28,S027,2,0,4,0.2,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S027,西安,中级,2024-05-08,B,543,14.05,4.88,36.85,61.72,36-45,1,2025Q4,13,0.29,0.31
L000029,2025-08-20,西安,懂车帝,44,男,41,0,0,41,2025-08,3,6.9,12.9,2.1,2025-08-24,2025-09-06,电话,0.472,0.414,0.114,S004,2,4,13,0.214,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S004,西安,中级,2022-02-17,C,1280,14.83,3.18,38.92,34.89,36-45,0,2025Q3,18,0.34,0.326
L000030,2025-10-26,成都,抖音,40,女,45,1,0,45,2025-10,1,19.3,35.2,0.0,2025-10-30,2025-11-01,电话,0.635,0.154,0.211,S021,2,4,2,0.333,O000029,2025-12-30,G9,650 Max,星云白,162.0,0.0,3.2,65.0,0,无,0,0.0,0.0,0.0,0.0,0,S021,成都,高级,2021-05-03,B,1637,14.39,3.09,12.91,64.7,36-45,1,2025Q4,15,0.27,0.265
L000031,2025-07-14,武汉,抖音,46,女,23,0,0,23,2025-07,2,3.5,15.0,4.3,2025-07-14,2025-07-16,面谈,0.291,0.206,0.503,S012,3,0,2,0.667,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S012,武汉,高级,2024-07-19,C,360,23.17,4.09,34.96,62.82,46-55,0,2025Q3,14,0.27,0.352
L000032,2025-12-30,重庆,小红书,37,男,26,0,0,26,2025-12,3,18.8,38.0,5.4,2026-01-06,2026-01-07,电话,0.62,0.336,0.044,S028,2,7,1,1.5,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S028,重庆,初级,2023-06-05,B,939,13.4,3.07,41.27,25.7,36-45,0,2025Q4,12,0.29,0.333
L000033,2025-07-30,北京,小红书,48,女,38,0,0,38,2025-07,2,9.9,28.5,6.9,2025-07-31,2025-08-07,电话,0.498,0.105,0.397,S018,2,1,7,0.25,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S018,北京,中级,2024-05-14,A,442,30.46,2.13,25.49,59.01,46-55,0,2025Q3,18,0.29,0.286
L000034,2025-11-03,成都,门店,36,女,19,0,0,19,2025-11,2,20.6,33.6,9.0,2025-11-10,2025-11-16,微信,0.339,0.413,0.248,S046,3,7,6,0.286,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S046,成都,中级,2021-10-13,A,1482,16.58,2.94,17.72,45.45,36-45,0,2025Q4,20,0.31,0.336
L000035,2025-11-04,上海,门店,30,男,50,0,0,50,2025-11,4,21.7,27.9,5.3,2025-11-06,2025-11-11,微信,0.459,0.498,0.043,S001,2,2,5,0.667,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S001,上海,初级,2022-03-09,B,1336,22.95,6.17,27.96,68.26,26-35,0,2025Q4,7,0.31,0.288
L000036,2025-09-16,上海,懂车帝,29,男,22,1,0,22,2025-09,3,18.5,24.5,6.6,2025-09-17,2025-10-07,微信,0.31,0.449,0.241,S029,3,1,20,0.143,O000035,2025-11-22,G9,702 Pro,星阙灰,74.0,0.0,3.1,67.0,0,无,0,0.0,0.0,0.0,0.0,0,S029,上海,中级,2023-07-22,C,787,15.54,6.22,29.0,49.69,26-35,0,2025Q3,16,0.34,0.321
L000037,2025-09-25,杭州,懂车帝,39,男,45,1,0,45,2025-09,6,11.4,16.7,8.1,2025-09-27,2025-10-09,电话,0.662,0.297,0.041,S031,2,2,12,0.462,O000036,2025-12-01,G9,702 Pro,星阙灰,195.0,0.0,4.1,67.0,0,无,0,0.0,0.0,0.0,0.0,0,S031,杭州,中级,2022-06-10,A,1203,28.74,5.81,22.79,67.73,36-45,0,2025Q3,11,0.34,0.245
L000038,2025-11-15,深圳,抖音,43,女,42,1,0,42,2025-11,2,17.9,22.1,7.1,2025-11-16,2025-12-08,面谈,0.287,0.108,0.605,S006,1,1,22,0.087,O000037,2025-12-09,G9,650 Performance,星际绿,72.0,0.0,3.5,24.0,0,无,0,0.0,0.0,0.0,0.0,0,S006,深圳,中级,2021-08-01,B,1567,30.37,3.36,25.88,30.39,36-45,1,2025Q4,17,0.27,0.248
L000039,2025-10-22,上海,车展,42,男,42,0,0,42,2025-10,5,42.7,49.8,5.6,2025-10-27,2025-11-01,微信,0.376,0.454,0.17,S027,2,5,5,0.833,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S027,上海,中级,2024-02-05,A,625,14.29,1.84,37.97,46.53,36-45,0,2025Q4,19,0.25,0.295
L000040,2025-08-14,深圳,懂车帝,48,女,50,1,0,50,2025-08,9,27.3,33.3,5.2,2025-08-17,2025-08-25,面谈,0.418,0.162,0.42,S020,1,3,8,1.0,O000039,2025-09-29,G9,650 Max,星云白,216.0,1.0,4.2,46.0,0,无,0,0.0,0.0,0.0,0.0,0,S020,深圳,中级,2022-02-12,C,1279,12.98,4.98,11.08,22.64,46-55,0,2025Q3,19,0.34,0.277
L000041,2025-07-22,重庆,朋友推荐,41,男,53,1,0,53,2025-07,4,21.2,27.6,2.7,2025-07-27,2025-08-20,面谈,0.231,0.329,0.44,S031,1,5,24,0.16,O000040,2025-09-05,G9,650 Performance,月光银,19.0,0.0,4.0,45.0,0,无,0,0.0,0.0,0.0,0.0,0,S031,重庆,中级,2023-07-23,A,730,10.16,3.4,40.07,30.0,36-45,0,2025Q3,11,0.33,0.237
L000042,2025-07-12,深圳,抖音,50,男,17,1,0,17,2025-07,4,15.9,31.7,7.2,2025-07-14,2025-07-16,电话,0.528,0.248,0.224,S002,3,2,2,1.333,O000041,2025-09-15,G9,702 Max,月光银,26.0,0.0,4.1,65.0,1,交付等待,1,11.9,16.4,3.8,3.6,1,S002,深圳,中级,2022-06-29,B,1109,27.83,2.68,9.33,67.88,46-55,1,2025Q3,24,0.27,0.345
L000043,2025-11-25,西安,懂车帝,31,男,39,1,0,39,2025-11,5,20.1,31.2,7.3,2025-12-01,2025-12-15,电话,0.419,0.25,0.331,S047,3,6,14,0.333,O000042,2026-01-13,G9,570 Plus,暗夜黑,186.0,0.0,4.3,49.0,0,无,0,0.0,0.0,0.0,0.0,0,S047,西安,中级,2022-07-25,A,1219,29.76,2.61,19.16,50.74,26-35,0,2025Q4,13,0.34,0.398
L000044,2025-09-29,广州,朋友推荐,46,男,35,0,0,35,2025-09,3,12.0,25.7,3.4,2025-10-01,2025-10-25,电话,0.66,0.124,0.216,S031,1,2,24,0.12,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S031,广州,高级,2022-11-22,A,1042,25.43,4.29,29.55,22.71,46-55,0,2025Q3,15,0.33,0.276
L000045,2025-11-06,重庆,抖音,31,女,41,0,0,41,2025-11,4,16.2,29.7,2.5,2025-11-10,2025-12-03,电话,0.482,0.301,0.217,S009,2,4,23,0.167,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S009,重庆,初级,2021-10-28,A,1470,21.07,4.39,8.78,43.85,26-35,0,2025Q4,8,0.27,0.272
L000046,2025-10-10,深圳,懂车帝,53,女,23,1,0,23,2025-10,2,27.8,38.4,1.6,2025-10-14,2025-10-15,面谈,0.273,0.293,0.434,S013,3,4,1,1.0,O000045,2025-10-30,G9,570 Plus,星云白,246.0,0.0,3.5,20.0,2,售后响应,2,9.4,20.1,3.7,3.7,1,S013,深圳,中级,2024-05-03,A,525,11.95,5.57,25.36,25.82,46-55,0,2025Q4,17,0.34,0.291
L000047,2025-08-22,重庆,门店,26,男,40,0,0,40,2025-08,2,35.0,52.8,6.7,2025-08-27,2025-09-01,微信,0.362,0.469,0.169,S019,2,5,5,0.333,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S019,重庆,资深,2021-11-29,A,1362,28.83,3.17,40.12,70.82,26-35,0,2025Q3,16,0.31,0.269
L000048,2025-10-25,西安,抖音,48,男,18,0,0,18,2025-10,4,26.5,31.2,4.9,2025-10-30,2025-11-09,微信,0.339,0.612,0.049,S003,3,5,10,0.364,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S003,西安,中级,2022-05-07,B,1267,10.63,2.26,41.89,63.2,46-55,1,2025Q4,19,0.27,0.228
L000049,2025-12-01,深圳,小红书,34,男,29,1,0,29,2025-12,3,8.8,17.0,5.9,2025-12-05,2025-12-29,微信,0.355,0.443,0.202,S011,1,4,24,0.12,O000048,2026-01-03,G9,650 Performance,月光银,43.0,1.0,3.2,33.0,0,无,0,0.0,0.0,0.0,0.0,0,S011,深圳,中级,2021-02-17,B,1748,19.39,5.2,24.93,63.03,26-35,0,2025Q4,10,0.29,0.373
L000050,2025-11-26,广州,抖音,55,男,22,0,0,22,2025-11,3,30.4,39.2,6.5,2025-11-27,2025-12-06,微信,0.226,0.559,0.215,S004,1,1,9,0.3,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S004,广州,中级,2023-05-03,A,938,13.48,4.61,8.52,26.9,46-55,0,2025Q4,17,0.27,0.321
L000051,2025-08-04,杭州,懂车帝,36,女,27,1,0,27,2025-08,1,9.4,29.4,0.0,2025-08-11,2025-08-16,电话,0.637,0.287,0.076,S030,1,7,5,0.167,O000050,2025-10-14,G9,650 Max,月光银,164.0,1.0,3.8,71.0,0,无,0,0.0,0.0,0.0,0.0,0,S030,杭州,初级,2022-01-23,C,1289,26.0,5.35,22.37,29.69,36-45,0,2025Q3,19,0.34,0.348
L000052,2025-12-24,重庆,懂车帝,36,男,36,0,0,36,2025-12,6,16.3,31.4,6.3,2025-12-27,2025-12-29,电话,0.519,0.445,0.036,S045,3,3,2,2.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S045,重庆,中级,2022-07-03,B,1270,17.38,2.42,23.87,67.58,36-45,0,2025Q4,12,0.34,0.321
L000053,2025-11-15,重庆,懂车帝,37,男,34,0,0,34,2025-11,2,25.8,29.3,3.1,2025-11-15,2025-12-07,电话,0.631,0.218,0.151,S031,3,0,22,0.087,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S031,重庆,初级,2021-01-19,B,1761,14.72,3.02,30.94,71.66,36-45,1,2025Q4,8,0.34,0.327
L000054,2025-11-12,北京,门店,37,男,44,1,0,44,2025-11,1,12.8,16.8,0.0,2025-11-17,2025-12-02,电话,0.654,0.23,0.116,S011,2,5,15,0.062,O000053,2025-12-30,G9,570 Plus,星云白,70.0,0.0,3.6,48.0,0,无,0,0.0,0.0,0.0,0.0,0,S011,北京,中级,2022-02-07,B,1374,15.15,4.01,11.8,70.42,36-45,0,2025Q4,20,0.31,0.268
L000055,2025-08-14,南京,小红书,31,男,47,0,0,47,2025-08,1,24.1,40.2,0.0,2025-08-17,2025-09-04,电话,0.632,0.214,0.154,S017,2,3,18,0.053,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S017,南京,中级,2021-03-23,A,1605,29.36,2.21,35.6,37.08,26-35,0,2025Q3,14,0.29,0.261
L000056,2025-09-14,广州,门店,37,男,23,0,0,23,2025-09,3,10.7,17.2,6.5,2025-09-21,2025-09-30,面谈,0.145,0.371,0.484,S001,2,7,9,0.3,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S001,广州,高级,2022-12-09,B,1010,17.56,6.17,31.41,52.98,36-45,1,2025Q3,15,0.31,0.385
L000057,2025-12-26,杭州,小红书,28,男,16,1,0,16,2025-12,3,15.7,27.6,4.2,2025-12-27,2026-01-02,电话,0.703,0.226,0.071,S029,1,1,6,0.429,O000056,2026-02-08,G9,702 Pro,星云白,216.0,0.0,3.2,44.0,0,无,0,0.0,0.0,0.0,0.0,0,S029,杭州,初级,2022-10-31,B,1152,25.23,2.22,10.76,24.67,26-35,0,2025Q4,17,0.29,0.236
L000058,2025-11-13,广州,车展,52,男,45,0,0,45,2025-11,5,28.0,39.8,7.6,2025-11-18,2025-11-22,微信,0.424,0.464,0.112,S046,1,5,4,1.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S046,广州,初级,2022-07-04,B,1228,17.13,2.28,27.02,58.66,46-55,0,2025Q4,17,0.25,0.359
L000059,2025-09-01,北京,懂车帝,51,女,32,1,0,32,2025-09,7,22.9,28.8,5.0,2025-09-03,2025-09-06,电话,0.578,0.372,0.05,S045,1,2,3,1.75,O000058,2025-10-30,G9,650 Performance,星阙灰,164.0,0.0,3.1,59.0,1,软件体验,1,1.9,7.5,4.0,3.6,1,S045,北京,中级,2024-01-09,B,601,10.52,6.13,21.04,22.36,46-55,0,2025Q3,12,0.34,0.37
L000060,2025-07-08,武汉,懂车帝,35,男,28,1,0,28,2025-07,7,6.5,16.1,5.7,2025-07-12,2025-07-20,电话,0.485,0.474,0.042,S046,3,4,8,0.778,O000059,2025-09-15,G9,570 Plus,月光银,174.0,1.0,3.6,69.0,0,无,0,0.0,0.0,0.0,0.0,0,S046,武汉,高级,2023-02-20,B,869,28.88,5.85,17.17,70.93,26-35,0,2025Q3,14,0.34,0.24
L000061,2025-11-27,西安,朋友推荐,36,女,19,1,0,19,2025-11,2,23.8,31.8,7.3,2025-12-04,2025-12-19,微信,0.425,0.528,0.047,S037,1,7,15,0.125,O000060,2026-01-01,G9,650 Performance,星云白,30.0,0.0,3.2,35.0,1,充电体验,1,6.3,10.0,3.6,2.9,1,S037,西安,中级,2023-05-13,C,929,24.77,5.8,31.79,58.24,36-45,0,2025Q4,13,0.33,0.231
L000062,2025-10-05,南京,小红书,45,男,27,0,0,27,2025-10,2,18.5,27.9,8.5,2025-10-08,2025-10-25,微信,0.296,0.455,0.249,S027,1,3,17,0.111,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S027,南京,高级,2024-01-08,A,636,27.82,2.98,27.72,30.64,36-45,1,2025Q4,12,0.29,0.312
L000063,2025-08-14,武汉,懂车帝,54,男,34,0,0,34,2025-08,2,10.5,19.8,6.0,2025-08-21,2025-09-11,微信,0.252,0.517,0.231,S027,2,7,21,0.091,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S027,武汉,初级,2021-03-03,B,1625,15.28,6.27,29.24,57.89,46-55,0,2025Q3,12,0.34,0.339
L000064,2025-11-17,南京,门店,43,女,33,1,0,33,2025-11,3,12.6,18.5,1.6,2025-11-19,2025-11-22,面谈,0.247,0.117,0.636,S031,3,2,3,0.75,O000063,2025-12-27,G9,702 Pro,星云白,254.0,0.0,3.7,40.0,1,异响/装配,1,4.2,7.1,4.0,3.7,1,S031,南京,初级,2024-03-10,C,617,13.31,3.95,26.89,35.56,36-45,0,2025Q4,14,0.31,0.367
L000065,2025-09-09,广州,车展,51,女,36,0,0,36,2025-09,5,15.4,19.7,2.1,2025-09-12,2025-09-27,微信,0.265,0.463,0.272,S041,1,3,15,0.312,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S041,广州,资深,2023-02-11,B,941,28.25,2.6,23.34,56.35,46-55,0,2025Q3,15,0.25,0.259
L000066,2025-09-17,深圳,小红书,41,女,26,0,0,26,2025-09,3,5.4,15.6,5.9,2025-09-18,2025-10-03,微信,0.34,0.495,0.166,S036,3,1,15,0.188,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S036,深圳,高级,2021-10-13,C,1435,17.64,1.83,13.82,54.41,36-45,0,2025Q3,19,0.29,0.374
L000067,2025-10-12,杭州,懂车帝,34,女,16,0,0,16,2025-10,3,24.9,28.3,4.5,2025-10-18,2025-11-06,电话,0.487,0.471,0.042,S035,3,6,19,0.15,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S035,杭州,高级,2024-05-22,B,508,16.56,4.79,39.43,54.55,26-35,1,2025Q4,13,0.34,0.278
L000068,2025-11-29,北京,朋友推荐,42,女,16,0,0,16,2025-11,3,24.8,29.5,2.9,2025-12-02,2025-12-04,电话,0.407,0.3,0.292,S011,1,3,2,1.0,,,,,,,,,,0,无,0,0.0,0.0,0.0,0.0,0,S011,北京,中级,2024-04-12,B,596,24.14,1.92,13.03,52.64,36-45,1,2025Q4,20,0.33,0.26
